tenure,monthly_charges,support_calls,contract_type,churn
23,27.12567277652586,3,1,0
1,21.210847523488745,1,1,0
15,115.65013982994802,2,1,0
21,93.75083594590069,2,1,0
9,55.32514085020642,0,1,0
9,49.653558128765525,5,1,0
10,54.97032297458495,7,0,1
26,97.46535311811819,2,0,1
35,86.13706110704143,4,0,0
25,38.51955678674679,0,1,0
26,37.41093353340843,9,1,0
11,29.839564971339733,6,1,0
2,86.03027197013381,9,0,1
7,96.43726622217359,0,1,0
18,46.5046428325004,8,1,0
27,22.09449610309128,7,0,0
34,28.217166747642736,6,1,0
27,116.78600348450304,9,0,1
17,49.54447774774203,6,0,1
24,96.92231478381336,4,1,0
25,82.46635688542638,4,1,0
7,58.19396396528959,4,1,1
6,40.56872621955551,0,0,1
24,32.138641815940645,7,0,1
33,81.50129680388666,0,0,0
29,97.4633780637788,3,1,0
22,84.39042535411306,8,1,1
26,73.03021332491583,8,1,0
28,24.195122343163625,4,1,0
21,116.84887775943838,3,0,1
7,99.87141916545745,2,0,0
17,49.28220367009647,2,0,0
20,117.99703293588506,4,0,0
20,80.1881589636322,9,1,0
22,78.24226582072465,0,1,0
28,94.8073179429532,4,1,0
7,101.17697880901376,5,0,1
1,85.64786073315027,6,0,1
32,32.80957463662,8,1,0
13,53.82675059944984,2,1,0
30,112.80836403260497,1,0,0
23,42.46156118438519,2,1,0
19,57.21670238375133,8,0,1
32,63.2076882944196,6,0,0
30,63.940498969445215,8,0,1
29,81.29395824945256,1,1,0
29,114.30758377447076,4,1,0
30,44.06927118325049,3,0,1
16,32.150137630091805,1,1,0
19,39.74704898599373,8,0,0
18,108.69249002092695,8,0,1
1,84.5810812655206,5,0,1
14,48.590678923916016,5,0,1
2,101.59469389686173,7,1,0
28,106.1369996363436,5,0,0
30,104.6514338690278,0,0,0
4,111.89265336395545,3,1,0
1,45.22410201733616,6,0,1
8,95.50419287462783,1,0,0
29,66.05394972741401,8,1,0
3,104.19985528900615,7,1,1
32,92.84906771616131,7,1,1
10,97.64474464997247,6,0,0
10,85.61618376810715,3,1,1
19,37.74287694697069,1,1,0
34,74.50269188969384,2,0,0
33,118.46697395245081,5,0,1
23,113.73880664971189,4,0,1
28,24.31737357970117,7,0,0
32,36.481481572943714,5,0,0
7,33.17287734545619,5,1,0
29,92.59799099852955,0,1,0
8,101.77853298569451,3,1,0
1,41.35113663106719,4,0,0
3,70.5852692951829,2,0,0
24,104.07030280112,8,0,1
23,93.28015447662506,0,1,0
8,74.22372054918483,5,1,1
3,79.03476904587728,5,0,1
33,70.836054691628,9,1,1
28,49.75484513188206,4,0,1
8,76.50219928590161,4,1,1
34,88.88853020500906,9,1,0
35,107.33229158608077,4,1,0
32,83.62913539792481,5,0,0
24,96.1121537043158,7,1,1
14,36.0071634954573,1,1,0
32,66.15574744197899,5,0,0
16,20.93316198270933,0,1,0
4,44.6678864521623,3,0,0
21,92.64617151130048,9,0,1
14,119.18099513493634,2,0,1
31,29.91780995872159,8,0,1
18,60.14943158612883,2,0,0
7,100.00709686991596,5,1,0
10,40.403563462889885,0,0,0
7,75.50849493022862,5,0,1
33,93.30712960296748,3,0,0
23,81.5985450260179,7,0,1
21,38.80247346154162,8,1,1
19,55.538456868573945,3,0,0
19,98.37917844853972,9,1,1
29,75.42265141320166,9,0,1
18,20.522961354291272,5,1,0
2,96.09907600280938,0,0,0
1,23.531135494023907,3,0,1
5,94.57337827312321,6,1,0
20,40.24805601652374,0,0,0
11,115.80734801193802,7,1,1
2,56.79407513020845,9,0,1
3,52.69316163380791,5,1,0
23,34.888805033244466,4,0,0
12,50.56042154902149,9,0,1
20,107.66507618282006,8,1,1
5,119.63343376272474,1,0,0
30,56.83095305068483,4,0,0
9,64.86106309545426,5,0,1
34,92.2070938202737,6,0,1
35,108.61957804650746,4,0,1
22,79.30443341867841,8,0,1
24,59.15256981778293,0,1,0
17,61.262184084862376,6,1,0
10,89.56181464968068,9,1,0
30,20.321826360427867,6,0,0
23,81.95893374598407,3,1,1
32,55.54930104413574,8,0,1
17,99.41973312770843,4,0,1
17,29.299063982313214,3,0,0
